Round 1,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
327,Detroit Red Wings,C/LW,Henrik Borgstrom,61,22,"$925,000",,Round 7
328,Carolina Hurricanes,D,Matt Grzelcyk,67,26,"$1,400,000",,Round 8
329,Anaheim Ducks,D,Olli Maatta,71,25,"$4,083,333",,Round 9
330,Vancouver Canucks,LW/RW,Jonathan Marchessault,69,29,"$5,000,001",,Round 10
331,Philadelphia Flyers,LW/RW,Warren Foegele,63,23,"$746,667",,Round 11
332,Seattle Kraken,D,Ryan McDonagh,74,30,"$6,750,000",,Round 12
333,Winnipeg Jets,LW,Nick Ritchie,66,24,"$1,498,925",,Round 13
334,Washington Capitals,RW,Joel Armia,70,26,"$2,600,000",,Round 14
335,NY Rangers,C,Eric Staal,73,35,"$3,250,000",,Round 15
336,Pittsburgh Penguins,C/RW,Noel Acciari,69,27,"$1,666,667",,Round 16
337,Columbus Blue Jackets,C,Isac Lundestrom,61,20,"$925,000",,Round 17
338,Colorado Avalanche,RW,Ilya Mikheyev,66,25,"$500,002",,Round 18
339,Philadelphia Flyers,D,Troy Stecher,68,25,"$2,325,000",,Round 19
340,New Jersey Devils,G,David Rittich,72,27,"$2,750,000",,Round 20
341,Tampa Bay Lightning,D,Calvin de Haan,73,28,"$4,550,000",,Round 21
342,Los Angeles Kings,D,Jacob Larsson,65,22,"$894,166",,Round 22
343,Calgary Flames,LW,Nikita Gusev,67,27,"$4,500,001",,Round 23
344,Montreal Canadiens,RW,Josh Anderson,66,25,"$765,000",,Round 24
345,Edmonton Oilers,C,Casey Cizikas,70,29,"$3,350,000",,Round 25
346,Ottawa Senators,C,Jordan Staal,71,31,"$6,000,000",,Round 26
347,Chicago Blackhawks,LW/RW,Artturi Lehkonen,67,24,"$2,400,000",,
348,Anaheim Ducks,LW,Ondrej Palat,71,28,"$5,300,000",,
349,Florida Panthers,D,Kevin Shattenkirk,69,31,"$1,750,000",,
350,Chicago Blackhawks,C/LW/RW,Mikael Granlund,70,28,"$5,750,000",,
351,Dallas Stars,LW/RW,Valeri Nichushkin,67,24,"$800,000",,
352,Arizona Coyotes,D,Chris Tanev,73,30,"$4,450,000",,
Round 12,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
353,Arizona Coyotes,C/LW,Ivan Barbashev,68,24,"$1,250,000",,Round 1
354,Dallas Stars,LW/RW,Alex Chiasson,67,29,"$2,150,000",,Round 2
355,Chicago Blackhawks,RW,Cam Atkinson,72,30,"$5,875,000",,Round 3
356,Florida Panthers,D,David Savard,74,29,"$4,250,000",,Round 4
357,Vegas Golden Knights,C/LW,Alexander Kerfoot,67,25,"$3,500,000",,Round 5
358,Chicago Blackhawks,D,Brenden Dillon,73,29,"$3,270,000",,Round 6
359,Ottawa Senators,D,Nikita Zaitsev,72,28,"$4,500,000",,Round 7
360,Edmonton Oilers,D,Tyler Myers,73,30,"$6,000,000",,Round 8
361,Montreal Canadiens,D,Brandon Montour,68,25,"$3,387,500",,Round 9
362,Calgary Flames,C,Emil Bemstrom,61,20,"$925,001",,Round 10
363,Los Angeles Kings,G,Sam Montembeault,56,23,"$708,750",,Round 11
364,Tampa Bay Lightning,C/RW,Oskar Sundqvist,68,25,"$2,750,000",,Round 12
365,New Jersey Devils,C/LW/RW,Jason Dickinson,67,24,"$1,500,000",,Round 13
366,Carolina Hurricanes,RW,Jordan Eberle,71,29,"$5,500,000",,Round 14
367,Colorado Avalanche,C/LW/RW,Dominik Kahun,66,24,"$925,000",,Round 15
368,Columbus Blue Jackets,LW/RW,Andreas Johnsson,67,25,"$3,400,000",,Round 16
369,Pittsburgh Penguins,C/RW,Erik Haula,69,28,"$2,750,000",,Round 17
370,NY Rangers,C/LW,Andrew Copp,70,25,"$2,280,000",,Round 18
371,Washington Capitals,LW/RW,Nino Niederreiter,69,27,"$5,250,000",,Round 19
372,Winnipeg Jets,C/LW/RW,Yanni Gourde,68,28,"$5,166,666",,Round 20
373,Seattle Kraken,D,Erik Johnson,74,31,"$6,000,000",,Round 21
374,Philadelphia Flyers,LW/RW,Daniel Sprong,64,22,"$750,000",,Round 22
375,Vegas Golden Knights,D,Sami Vatanen,72,28,"$4,875,000",,Round 23
376,Minnesota Wild,D,Ryan Lindgren,63,22,"$925,000",,Round 24
377,Anaheim Ducks,LW/RW,Brandon Tanev,70,28,"$3,500,000",,Round 25
378,Detroit Red Wings,LW/RW,Danton Heinen,66,24,"$2,800,000",,Round 26
379,Nashville Predators,LW/RW,Frank Vatrano,68,25,"$2,533,333",,
380,Seattle Kraken,D,Riley Stillman,65,21,"$773,333",,
381,San Jose Sharks,C/RW/LW,Calle Jarnkrok,70,28,"$2,000,000",,
382,St. Louis Blues,D,Joel Edmundson,71,26,"$3,100,000",,
383,Buffalo Sabres,RW,Joey Anderson,64,21,"$800,000",,
384,NY Islanders,LW/RW,Ryan Dzingel,67,27,"$3,375,000",,
Round 13,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
385,NY Islanders,C/LW,Barclay Goodrow,68,27,"$925,000",,Round 1
386,Buffalo Sabres,D,Libor Hajek,63,22,"$833,333",,Round 2
387,St. Louis Blues,LW,Zach Parise,74,35,"$7,538,461",,Round 3
388,Toronto Maple Leafs,C/LW,Marcus Johansson,70,29,"$4,500,000",,Round 4
389,Vancouver Canucks,D,Robert Hagg,67,25,"$1,150,000",,Round 5
390,Nashville Predators,D,Dylan DeMelo,71,26,"$900,000",,Round 6
391,Detroit Red Wings,LW,Max Jones,62,22,"$863,333",,Round 7
392,Carolina Hurricanes,RW,Zack Kassian,68,29,"$1,950,000",,Round 8
393,Minnesota Wild,C/LW/RW,Noah Gregor,57,21,"$768,334",,Round 9
394,Anaheim Ducks,C,Lucas Wallmark,66,25,"$675,000",,Round 10
395,Philadelphia Flyers,D,Vladislav Gavrikov,67,24,"$500,001",,Round 11
396,Seattle Kraken,D,Duncan Keith,75,36,"$5,538,462",,Round 12
397,Winnipeg Jets,C/LW/RW,Chandler Stephenson,65,25,"$1,050,000",,Round 13
398,Washington Capitals,LW,James van Riemsdyk,71,30,"$7,000,000",,Round 14
399,NY Rangers,D,Jake McCabe,71,26,"$2,850,000",,Round 15
400,Pittsburgh Penguins,RW,Patric Hornqvist,71,33,"$5,300,000",,Round 16
401,Columbus Blue Jackets,C/RW/LW,Vladislav Namestnikov,70,27,"$4,000,000",,Round 17
402,Colorado Avalanche,D,Josh Manson,71,28,"$4,100,000",,Round 18
403,Nashville Predators,D,Devon Toews,66,26,"$700,000",,Round 19
404,New Jersey Devils,C/LW,Nick Foligno,72,32,"$5,500,000",,Round 20
405,Tampa Bay Lightning,LW/RW,Joonas Donskoi,69,27,"$3,900,000",,Round 21
406,Los Angeles Kings,LW/RW,Miles Wood,67,24,"$2,750,000",,Round 22
407,Calgary Flames,C,Ryan Getzlaf,74,34,"$8,250,000",,Round 23
408,Montreal Canadiens,C/RW,Troy Terry,61,22,"$925,000",,Round 24
409,Edmonton Oilers,D,Jack Johnson,72,33,"$3,250,000",,Round 25
410,Ottawa Senators,D,Jason Demers,71,31,"$3,937,500",,Round 26
411,Chicago Blackhawks,C/LW,Derick Brassard,70,32,"$1,250,000",,
412,Toronto Maple Leafs,RW,Jesper Fast,69,28,"$1,850,000",,
413,Florida Panthers,LW/RW,Tyler Ennis,69,30,"$800,000",,
414,Boston Bruins,C/RW,Paul Stastny,71,34,"$6,500,000",,
415,Dallas Stars,C,Derek Stepan,71,29,"$6,500,000",,
416,Arizona Coyotes,C/RW,Jeff Carter,71,35,"$5,272,727",,
Round 14,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
417,Arizona Coyotes,D,Radko Gudas,71,29,"$2,345,000",,Round 1
418,Dallas Stars,D,T.J. Brodie,70,29,"$4,650,400",,Round 2
419,Boston Bruins,G,Jaroslav Halak,75,34,"$2,750,000",,Round 3
420,Florida Panthers,D,Roman Polak,71,33,"$1,750,000",,Round 4
421,San Jose Sharks,D,MacKenzie Weegar,68,26,"$1,600,000",,Round 5
422,Chicago Blackhawks,D,P.K. Subban,72,30,"$9,000,000",,Round 6
423,Ottawa Senators,C/RW,Luke Glendening,68,30,"$1,800,000",,Round 7
424,Edmonton Oilers,LW,Carl Hagelin,69,31,"$2,750,000",,Round 8
425,Montreal Canadiens,LW,Sammy Blais,63,23,"$850,001",,Round 9
426,Calgary Flames,D,Nick Leddy,71,28,"$5,500,000",,Round 10
427,Los Angeles Kings,C,Teddy Blueger,66,25,"$750,000",,Round 11
428,Tampa Bay Lightning,C,Adam Lowry,67,26,"$2,916,666",,Round 12
429,New Jersey Devils,LW/RW,Tage Thompson,62,22,"$925,000",,Round 13
430,Anaheim Ducks,D,Brian Dumoulin,70,28,"$4,100,000",,Round 14
431,Colorado Avalanche,G,Thomas Greiss,74,34,"$3,333,333",,Round 15
432,Columbus Blue Jackets,C/LW/RW,Colton Sissons,68,26,"$2,857,143",,Round 16
433,Pittsburgh Penguins,G,Antti Raanta,74,30,"$4,250,000",,Round 17
434,NY Rangers,LW/RW,Marcus Foligno,69,28,"$2,875,000",,Round 18
435,Washington Capitals,D,Ryan Murray,69,26,"$4,600,000",,Round 19
436,Winnipeg Jets,C,David Krejci,71,33,"$7,250,000",,Round 20
437,Vegas Golden Knights,D,Erik Gustafsson,68,27,"$1,200,000",,Round 21
438,Philadelphia Flyers,LW/RW,Sonny Milano,62,23,"$874,125",,Round 22
439,Vegas Golden Knights,LW,Rudolfs Balcers,59,22,"$759,167",,Round 23
440,Minnesota Wild,G,James Reimer,73,31,"$3,400,000",,Round 24
441,Carolina Hurricanes,C,Nicolas Roy,61,23,"$720,000",,Round 25
442,Detroit Red Wings,LW,Jesper Boqvist,59,21,"$925,001",,Round 26
443,Vegas Golden Knights,C/LW/RW,Sam Bennett,64,23,"$2,550,000",,
444,Vancouver Canucks,D,Will Butcher,66,25,"$3,733,333",,
445,Toronto Maple Leafs,LW/RW,Ilya Kovalchuk,70,36,"$6,250,000",,
446,St. Louis Blues,C/LW,Cedric Paquette,68,26,"$1,650,000",,
447,Buffalo Sabres,G,Chris Driedger,68,25,"$850,000",,
448,NY Islanders,LW/RW,Brock McGinn,66,26,"$2,100,000",,
Round 15,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
449,NY Islanders,D,Jonathon Merrill,67,28,"$1,375,000",,Round 1
450,Buffalo Sabres,D,Cody Ceci,71,26,"$4,500,000",,Round 2
451,St. Louis Blues,C,Jay Beagle,67,34,"$3,000,000",,Round 3
452,Toronto Maple Leafs,LW,Zemgus Girgensons,68,26,"$1,600,000",,Round 4
453,Vancouver Canucks,C,Michael McLeod,62,22,"$863,333",,Round 5
454,Nashville Predators,C/LW,Alex Galchenyuk,67,26,"$4,900,000",,Round 6
455,Detroit Red Wings,C,Mitchell Stephens,59,23,"$833,333",,Round 7
456,Carolina Hurricanes,C/LW,Nick Paul,64,24,"$750,000",,Round 8
457,Minnesota Wild,LW,Michael Grabner,66,32,"$3,350,000",,Round 9
458,Vancouver Canucks,C,Jansen Harkins,57,22,"$767,500",,Round 10
459,Philadelphia Flyers,D,Ben Hutton,69,26,"$1,500,000",,Round 11
460,Seattle Kraken,C/LW,Brad Richardson,68,35,"$1,250,000",,Round 12
461,Winnipeg Jets,LW/RW,Carl Grundstrom,62,22,"$925,000",,Round 13
462,Washington Capitals,C/RW,Ryan Hartman,65,25,"$1,900,000",,Round 14
463,NY Rangers,D,Oscar Fantenberg,68,28,"$850,000",,Round 15
464,Pittsburgh Penguins,D,Danny DeKeyser,70,29,"$5,000,000",,Round 16
465,Columbus Blue Jackets,D,Cale Fleury,61,21,"$771,666",,Round 17
466,Colorado Avalanche,RW,Craig Smith,69,30,"$4,250,000",,Round 18
467,Seattle Kraken,C,Travis Zajac,70,34,"$5,750,000",,Round 19
468,New Jersey Devils,D,Jordie Benn,68,32,"$2,000,000",,Round 20
469,Tampa Bay Lightning,C/LW/RW,Rasmus Asplund,60,22,"$845,000",,Round 21
470,Los Angeles Kings,C,Dylan Gambrell,61,23,"$700,000",,Round 22
471,Calgary Flames,D,Sean Walker,66,25,"$745,000",,Round 23
472,Montreal Canadiens,D,Caleb Jones,62,22,"$720,000",,Round 24
473,Edmonton Oilers,LW/RW,Matt Calvert,69,30,"$2,850,000",,Round 25
474,Ottawa Senators,LW/RW,Blake Comeau,69,34,"$2,400,000",,Round 26
475,Chicago Blackhawks,RW,Nicolas Aube-Kubel,61,23,"$700,000",,
476,Toronto Maple Leafs,G,Cam Talbot,73,32,"$2,750,000",,
477,Florida Panthers,LW/RW,Jimmy Vesey,65,26,"$2,275,000",,
478,Boston Bruins,LW/RW,Dustin Brown,72,35,"$5,875,000",,
479,Dallas Stars,C/LW,Derek Grant,68,29,"$700,000",,
480,Arizona Coyotes,RW,Alexander Radulov,70,33,"$6,250,000",,
Round 16,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
481,Arizona Coyotes,LW/RW,Andrew Cogliano,68,32,"$3,250,000",,Round 1
482,Dallas Stars,D,Mark Borowiecki,71,30,"$1,200,000",,Round 2
483,Boston Bruins,D,Niklas Hjalmarsson,70,32,"$5,000,000",,Round 3
484,Florida Panthers,D,Martin Marincin,65,28,"$700,000",,Round 4
485,San Jose Sharks,D,Mike Matheson,68,26,"$4,875,000",,Round 5
486,Chicago Blackhawks,C/RW,Joe Pavelski,71,35,"$7,000,000",,Round 6
487,Ottawa Senators,C/LW/RW,Colton Sceviour,67,30,"$1,200,000",,Round 7
488,Edmonton Oilers,C,Riley Sheahan,68,28,"$800,000",,Round 8
489,Montreal Canadiens,D,Madison Bowey,66,24,"$1,000,000",,Round 9
490,Calgary Flames,C/RW,Jayce Hawryluk,59,24,"$874,125",,Round 10
491,Los Angeles Kings,D,Marc-Edouard Vlasic,72,32,"$7,000,000",,Round 11
492,Tampa Bay Lightning,LW/RW,Pierre Engvall,63,23,"$925,000",,Round 12
493,New Jersey Devils,C/LW,Carl Soderberg,71,34,"$4,750,000",,Round 13
494,Anaheim Ducks,D,Keith Yandle,70,33,"$6,350,000",,Round 14
495,Colorado Avalanche,LW/RW,Brett Connolly,67,27,"$3,500,000",,Round 15
496,Columbus Blue Jackets,C/LW/RW,Nick Cousins,66,26,"$1,000,000",,Round 16
497,Pittsburgh Penguins,C/LW/RW,David Kampf,66,25,"$1,000,000",,Round 17
498,NY Rangers,D,Deryk Engelland,70,37,"$700,000",,Round 18
499,Washington Capitals,D,Slater Koekkoek,66,26,"$925,000",,Round 19
500,Winnipeg Jets,D,Alec Martinez,70,32,"$4,000,000",,Round 20
501,Anaheim Ducks,D,Oliver Kylington,60,22,"$730,833",,Round 21
502,Philadelphia Flyers,D,Brendan Guhle,63,23,"$697,500",,Round 22
503,Anaheim Ducks,C/LW/RW,Zach Sanford,65,25,"$1,500,000",,Round 23
504,Minnesota Wild,LW/RW,Tyler Motte,64,24,"$975,000",,Round 24
505,Carolina Hurricanes,C,Kyle Turris,69,30,"$6,000,000",,Round 25
506,Detroit Red Wings,RW,Mats Zuccarello,69,32,"$6,000,000",,Round 26
507,Nashville Predators,C,Cody Eakin,66,28,"$3,850,000",,
508,Vegas Golden Knights,C/RW,Andrew Shaw,67,29,"$3,900,000",,
509,Toronto Maple Leafs,RW,Justin Williams,70,38,"$2,000,000",,
510,St. Louis Blues,C/LW,Mattias Janmark,66,27,"$2,300,000",,
511,Buffalo Sabres,C/LW/RW,Curtis Lazar,64,25,"$700,000",,
512,NY Islanders,D,Justin Braun,71,33,"$3,800,000",,
Round 17,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
513,NY Islanders,C/LW,Sean Kuraly,65,27,"$1,275,000",,Round 1
514,Buffalo Sabres,LW/RW,Josh Leivo,66,26,"$1,500,000",,Round 2
515,St. Louis Blues,G,Sergei Bobrovsky,68,31,"$10,000,000",,Round 3
516,Toronto Maple Leafs,C/RW,Jason Spezza,68,36,"$700,000",,Round 4
517,Vancouver Canucks,LW/RW,James Neal,69,32,"$5,750,000",,Round 5
518,Nashville Predators,D,Sami Niku,60,23,"$775,000",,Round 6
519,Detroit Red Wings,LW,Trevor Moore,62,24,"$775,000",,Round 7
520,Carolina Hurricanes,D,Josh Mahura,58,21,"$745,000",,Round 8
521,Minnesota Wild,D,Anton Stralman,70,33,"$5,500,000",,Round 9
522,San Jose Sharks,LW/RW,Matthew Nieto,67,27,"$1,975,000",,Round 10
523,Philadelphia Flyers,LW,Taro Hirose,59,23,"$925,000",,Round 11
524,Seattle Kraken,C/RW,Carter Rowney,67,30,"$1,133,333",,Round 12
525,Winnipeg Jets,D,Jeremy Lauzon,61,22,"$747,500",,Round 13
526,Washington Capitals,G,Jack Campbell,65,28,"$675,000",,Round 14
527,NY Rangers,C,Johan Larsson,67,27,"$1,550,000",,Round 15
528,Pittsburgh Penguins,D,Andy Greene,73,37,"$5,000,000",,Round 16
529,Columbus Blue Jackets,LW/RW,Anders Bjork,61,23,"$925,000",,Round 17
530,Colorado Avalanche,LW,William Carrier,61,25,"$725,000",,Round 18
531,Anaheim Ducks,D,Matt Roy,65,25,"$700,000",,Round 19
532,New Jersey Devils,D,Kris Russell,70,32,"$4,000,000",,Round 20
533,Tampa Bay Lightning,D,Michael Del Zotto,68,29,"$750,000",,Round 21
534,Los Angeles Kings,D,Ilya Lyubushkin,62,25,"$874,125",,Round 22
535,Calgary Flames,C/LW/RW,Paul Byron,67,30,"$3,400,000",,Round 23
536,Montreal Canadiens,C,Mark Jankowski,63,25,"$1,675,000",,Round 24
537,Edmonton Oilers,RW,Josh Archibald,64,27,"$1,000,000",,Round 25
538,Ottawa Senators,D,Nick Jensen,68,29,"$2,500,000",,Round 26
539,Chicago Blackhawks,C,Blake Lizotte,62,22,"$925,005",,
540,San Jose Sharks,D,Derek Forbort,68,27,"$2,525,000",,
541,Florida Panthers,C/LW/RW,Artem Anisimov,68,31,"$4,550,000",,
542,Boston Bruins,LW/RW,Nikolay Goldobin,64,24,"$1,250,000",,
543,Dallas Stars,C,Joe Thornton,69,40,"$3,000,000",,
544,Arizona Coyotes,C/LW,Patrick Marleau,68,40,"$700,000",Portal Updated,
Round 18,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
545,Arizona Coyotes,C/RW,Nic Dowd,66,29,"$750,000",,Round 1
546,Dallas Stars,C/RW,Brandon Sutter,68,31,"$4,375,000",,Round 2
547,Boston Bruins,D,Maxime Lajoie,60,22,"$710,000",,Round 3
548,Florida Panthers,D,Justin Holl,65,28,"$675,000",,Round 4
549,Vegas Golden Knights,C,Filip Chlapik,61,22,"$728,333",,Round 5
550,Chicago Blackhawks,LW/RW,Zach Aston-Reese,64,25,"$1,000,000",,Round 6
551,Ottawa Senators,C/RW,Ryan Carpenter,66,29,"$1,000,000",,Round 7
552,Edmonton Oilers,C/LW,Jujhar Khaira,64,25,"$1,200,000",,Round 8
553,Montreal Canadiens,D,Stephen Johns,63,27,"$2,350,002",,Round 9
554,Calgary Flames,C,Mikko Koivu,70,36,"$5,500,000",,Round 10
555,Los Angeles Kings,C/RW,Kevin Stenlund,62,23,"$864,166",,Round 11
556,Tampa Bay Lightning,C/RW,Vinnie Hinostroza,65,25,"$1,500,000",,Round 12
557,New Jersey Devils,C/LW/RW,Derek Ryan,68,33,"$3,125,000",,Round 13
558,Anaheim Ducks,G,Anthony Stolarz,62,26,"$750,000",,Round 14
559,Colorado Avalanche,RW,Ryan Reaves,61,33,"$2,775,000",,Round 15
560,Columbus Blue Jackets,D,Michal Kempny,67,29,"$2,500,000",,Round 16
561,Pittsburgh Penguins,C,Carter Verhaeghe,59,24,"$700,000",,Round 17
562,NY Rangers,C/LW/RW,Chris Wagner,66,28,"$1,250,000",,Round 18
563,Washington Capitals,C/RW,Austin Watson,65,28,"$1,100,000",,Round 19
564,Winnipeg Jets,RW,Christian Fischer,62,22,"$821,666",,Round 20
565,Seattle Kraken,D,Jay Bouwmeester,74,36,"$3,250,000",,Round 21
566,Philadelphia Flyers,RW,Matt Luff,59,23,"$677,777",,Round 22
567,Vegas Golden Knights,D,Christian Wolanin,58,24,"$900,000",,Round 23
568,Minnesota Wild,C,Frederik Gauthier,63,25,"$675,000",,Round 24
569,Carolina Hurricanes,D,Marco Scandella,68,30,"$4,000,000",,Round 25
570,Detroit Red Wings,G,Devan Dubnyk,64,33,"$4,333,333",,Round 26
571,Nashville Predators,LW,Conor Sheary,65,27,"$3,000,000",,
572,Vancouver Canucks,D,Christian Djoos,64,25,"$1,250,000",,
573,Toronto Maple Leafs,C/RW,Karson Kuhlman,58,24,"$750,000",,
574,St. Louis Blues,LW/RW,Richard Panik,66,29,"$2,750,000",,
575,Buffalo Sabres,D,Ron Hainsey,72,38,"$3,500,000",,
576,NY Islanders,LW/RW,Garnet Hathaway,63,28,"$1,500,000",,
Round 19,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
577,NY Islanders,RW,Cal Clutterbuck,67,32,"$3,500,000",,Round 1
578,Buffalo Sabres,RW,Bobby Ryan,66,32,"$7,250,000",,Round 2
579,St. Louis Blues,LW/RW,Drake Caggiula,64,25,"$1,500,000",,Round 3
580,Toronto Maple Leafs,C/RW,Bryan Little,59,32,"$5,291,666",,Round 4
581,Vancouver Canucks,C,Tyler Bozak,69,33,"$5,000,000",,Round 5
582,Nashville Predators,D,Nick Holden,69,32,"$2,200,000",,Round 6
583,Detroit Red Wings,D,John Moore,67,29,"$2,750,000",,Round 7
584,Carolina Hurricanes,G,Alex Stalock,70,32,"$785,000",,Round 8
585,Minnesota Wild,D,Johnny Boychuk,71,36,"$6,000,000",,Round 9
586,San Jose Sharks,RW,Justin Bailey,64,24,"$700,000",,Round 10
587,Philadelphia Flyers,C/RW,Michael Amadio,61,23,"$700,000",,Round 11
588,Boston Bruins,C/LW/RW,Leo Komarov,66,33,"$3,000,000",,Round 12
589,Winnipeg Jets,G,Jonathan Bernier,72,31,"$3,000,000",,Round 13
590,Washington Capitals,LW/RW,Michael Dal Colle,59,23,"$800,000",,Round 14
591,NY Rangers,C/RW,Riley Nash,65,30,"$2,750,000",,Round 15
592,Pittsburgh Penguins,D,Dylan McIlrath,65,27,"$700,000",,Round 16
593,Columbus Blue Jackets,C/RW,Mason Appleton,60,24,"$741,667",,Round 17
594,Colorado Avalanche,C/RW,Nick Bjugstad,64,27,"$4,100,000",,Round 18
595,Anaheim Ducks,D,Carson Soucy,64,25,"$750,000",,Round 19
596,New Jersey Devils,D,Marc Staal,71,33,"$5,700,000",,Round 20
597,Tampa Bay Lightning,RW,Tyler Pitlick,64,28,"$1,000,000",,Round 21
598,Los Angeles Kings,D,Colin Miller,66,27,"$3,875,000",,Round 22
599,Calgary Flames,G,Malcolm Subban,56,26,"$850,000",,Round 23
600,Montreal Canadiens,LW/RW,Martin Frk,62,26,"$700,000",,Round 24
601,Edmonton Oilers,D,Matt Benning,65,25,"$1,900,000",,Round 25
602,Ottawa Senators,LW/RW,Michael Raffl,65,31,"$1,600,000",,Round 26
603,Chicago Blackhawks,D,Lawrence Pilut,62,24,"$925,000",,
604,Vegas Golden Knights,G,Anders Nilsson,68,29,"$2,600,000",,
605,Florida Panthers,D,Jamie Oleksiak,67,27,"$2,137,500",,
606,Boston Bruins,RW,Wayne Simmonds,68,31,"$5,000,000",,
607,Dallas Stars,C/LW/RW,Brandon Pirri,61,28,"$775,000",,
608,Arizona Coyotes,LW/RW,Brendan Perlini,62,23,"$1,750,000",,
Round 20,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
609,Arizona Coyotes,LW/RW,Corey Perry,66,34,"$1,250,000",,Round 1
610,Dallas Stars,C/LW,Brendan Gaunce,63,25,"$700,000",,Round 2
611,Boston Bruins,C/LW,Brian Boyle,67,35,"$940,000",,Round 3
612,Florida Panthers,G,Jonathan Quick,72,34,"$5,800,000",,Round 4
613,San Jose Sharks,C,Kevin Rooney,64,26,"$700,000",,Round 5
614,Chicago Blackhawks,D,Mike Green,69,34,"$5,375,000",,Round 6
615,Ottawa Senators,C/LW,Nate Thompson,67,35,"$1,000,000",,Round 7
616,Edmonton Oilers,G,Mike Smith,69,37,"$2,000,000",,Round 8
617,Montreal Canadiens,D,Jake Gardiner,66,29,"$3,000,000",,Round 9
618,Calgary Flames,D,Markus Nutivaara,63,25,"$2,700,000",,Round 10
619,Los Angeles Kings,G,Martin Jones,65,30,"$5,750,000",,Round 11
620,Tampa Bay Lightning,D,Mark Pysyk,67,28,"$2,733,333",,Round 12
621,New Jersey Devils,D,Jarred Tinordi,65,28,"$700,000",,Round 13
622,Anaheim Ducks,D,Mike Reilly,66,26,"$1,500,000",,Round 14
623,Colorado Avalanche,D,Dan Hamhuis,69,37,"$1,250,000",,Round 15
624,Columbus Blue Jackets,LW/RW,Pat Maroon,65,31,"$1,500,000",,Round 16
625,Pittsburgh Penguins,G,Garret Sparks,58,26,"$750,000",,Round 17
626,NY Rangers,G,Ryan Miller,70,39,"$1,125,000",,Round 18
627,Washington Capitals,LW/RW,Adam Erne,61,24,"$800,000",,Round 19
628,Winnipeg Jets,C/LW/RW,Austin Czarnik,64,27,"$1,250,000",,Round 20
629,Boston Bruins,D,Luca Sbisa,67,30,"$750,000",,Round 21
630,Philadelphia Flyers,C/RW,Denis Malgin,61,23,"$1,250,000",,Round 22
631,Vegas Golden Knights,C/RW,Rocco Grimaldi,63,27,"$1,000,000",,Round 23
632,Minnesota Wild,C/LW/RW,Vladislav Kamenev,59,23,"$750,000",,Round 24
633,Carolina Hurricanes,LW/RW,Austin Wagner,58,22,"$759,167",,Round 25
634,Detroit Red Wings,D,Tucker Poolman,63,26,"$775,000",,Round 26
635,Nashville Predators,LW/RW,Micheal Ferland,62,27,"$3,500,000",,
636,Vancouver Canucks,D,Christian Jaros,59,23,"$755,000",,
637,Toronto Maple Leafs,D,Luke Schenn,66,30,"$700,000",,
638,St. Louis Blues,LW/RW,Tobias Rieder,64,27,"$700,000",,
639,Buffalo Sabres,LW/RW,Marcus Sorensen,64,27,"$1,500,000",,
640,NY Islanders,C/LW,Zack Smith,65,31,"$3,250,000",,
Round 21,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
641,NY Islanders,D,Jordan Oesterle,66,27,"$1,400,000",,Round 1
