Round 1,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
75,Philadelphia Flyers,C/RW,Blake Wheeler,78,33,"$8,250,000",,Round 11
76,Seattle Kraken,G,Elvis Merzlikins,74,25,"$874,125",,Round 12
77,Winnipeg Jets,C/LW,Ryan Nugent-Hopkins,77,26,"$6,000,000",,Round 13
78,Washington Capitals,LW/RW,Johnny Gaudreau,71,26,"$6,750,001",,Round 14
79,NY Rangers,D,Dougie Hamilton,76,26,"$5,750,000",,Round 15
80,Pittsburgh Penguins,C/LW/RW,Claude Giroux,77,32,"$8,275,000",,Round 16
81,Columbus Blue Jackets,G,Robin Lehner,77,28,"$5,000,000",,Round 17
82,Anaheim Ducks,LW,Filip Forsberg,73,25,"$6,000,000",,Round 18
83,Anaheim Ducks,LW/RW,Timo Meier,73,23,"$6,000,000",,Round 19
84,New Jersey Devils,C/LW,Pavel Zacha,70,22,"$1,750,000",,Round 20
85,Tampa Bay Lightning,G,Frederik Andersen,77,30,"$5,000,000",,Round 21
86,Los Angeles Kings,C/LW,Jack Hughes,63,18,"$925,001",,Round 22
87,Calgary Flames,G,John Gibson,72,26,"$6,400,000",,Round 23
88,Montreal Canadiens,D,Morgan Rielly,74,25,"$5,000,000",,Round 24
89,Edmonton Oilers,C/LW,Tomas Hertl,75,26,"$5,625,000",,Round 25
90,Ottawa Senators,C/RW,William Nylander,72,23,"$6,962,366",,Round 26
91,Chicago Blackhawks,LW/RW,Alex DeBrincat,71,22,"$778,333",,
92,San Jose Sharks,D,Drew Doughty,77,30,"$11,000,000",,
93,Florida Panthers,LW,Chris Kreider,76,28,"$4,625,000",,
94,Boston Bruins,D,Mikhail Sergachev,72,21,"$894,166",,
95,Dallas Stars,G,Semyon Varlamov,77,31,"$5,000,000",,
96,Arizona Coyotes,D,Matt Niskanen,76,33,"$5,750,000",,
Round 4,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
97,Arizona Coyotes,RW,T.J. Oshie,75,33,"$5,750,000",,Round 1
98,Dallas Stars,D,Kris Letang,77,32,"$7,250,000",,Round 2
99,NY Rangers,C,John Tavares,76,29,"$11,000,000",,Round 3
100,Florida Panthers,C/LW,Max Domi,71,24,"$3,150,000",,Round 4
101,San Jose Sharks,D,Alexander Edler,77,33,"$6,000,000",,Round 5
102,Chicago Blackhawks,G,Jordan Binnington,74,26,"$4,400,000",,Round 6
103,Ottawa Senators,D,Rasmus Ristolainen,75,25,"$5,400,000",,Round 7
104,Edmonton Oilers,G,Mackenzie Blackwood,75,24,"$697,500",,Round 8
105,Montreal Canadiens,D,Adam Fox,64,22,"$925,001",,Round 9
106,Calgary Flames,C,Ryan O'Reilly,76,29,"$7,500,000",,Round 10
107,Los Angeles Kings,RW,Kaapo Kakko,64,19,"$925,002",,Round 11
108,Tampa Bay Lightning,D,Shea Weber,77,34,"$7,857,143",,Round 12
109,New Jersey Devils,C/RW,Sam Reinhart,73,24,"$3,650,000",,Round 13
110,Anaheim Ducks,LW/RW,Anthony Mantha,73,25,"$3,300,000",,Round 14
111,Colorado Avalanche,G,Juuse Saros,72,24,"$1,500,000",,Round 15
112,Columbus Blue Jackets,D,Ryan Suter,77,35,"$7,538,461",,Round 16
113,Minnesota Wild,LW/RW,Jakub Vrana,72,24,"$3,350,000",,Round 17
114,Boston Bruins,D,Jakob Chychrun,71,21,"$4,600,000",,Round 18
115,Washington Capitals,G,Philipp Grubauer,75,28,"$3,333,333",,Round 19
116,Winnipeg Jets,LW/RW,Nikolaj Ehlers,70,24,"$6,000,000",,Round 20
117,Seattle Kraken,C,Sean Monahan,73,25,"$6,375,000",,Round 21
118,Philadelphia Flyers,D,Travis Sanheim,69,23,"$3,250,000",,Round 22
119,Vegas Golden Knights,D,Shea Theodore,69,24,"$5,200,000",,Round 23
120,Minnesota Wild,D,Jaccob Slavin,74,25,"$5,300,000",,Round 24
121,Carolina Hurricanes,C,Evgeny Kuznetsov,74,27,"$7,800,000",,Round 25
122,Detroit Red Wings,G,Corey Crawford,77,35,"$6,000,000",,Round 26
123,Nashville Predators,G,Darcy Kuemper,76,29,"$1,850,000",,
124,Vancouver Canucks,C/RW/LW,Clayton Keller,70,21,"$885,833",,
125,Toronto Maple Leafs,RW,Vladimir Tarasenko,73,28,"$7,500,000",,
126,St. Louis Blues,D,Ryan Graves,70,24,"$735,000",,
127,Buffalo Sabres,D,Hampus Lindholm,74,26,"$5,205,556",,
128,NY Islanders,D,Oscar Klefbom,75,26,"$4,167,000",,
Round 5,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
129,NY Islanders,D,Noah Hanifin,72,23,"$4,950,000",,Round 1
130,Buffalo Sabres,LW/RW,Bryan Rust,75,27,"$3,500,000",,Round 2
131,St. Louis Blues,G,Joonas Korpisalo,72,25,"$1,150,000",,Round 3
132,Toronto Maple Leafs,D,Alex Pietrangelo,75,30,"$6,500,000",,Round 4
133,Vancouver Canucks,D,Oliver Ekman-Larsson,74,28,"$8,250,000",,Round 5
134,Nashville Predators,D,Mathew Dumba,70,25,"$6,000,000",,Round 6
135,Detroit Red Wings,D,Jacob Trouba,76,26,"$8,000,000",,Round 7
136,Carolina Hurricanes,LW/RW,Kevin Fiala,72,23,"$1,750,000",,Round 8
137,Minnesota Wild,D,Brandon Carlo,72,23,"$2,850,000",,Round 9
138,Vegas Golden Knights,C/RW,Robert Thomas,67,20,"$894,166",,Round 10
139,Philadelphia Flyers,G,Marcus Hogberg,66,25,"$700,000",,Round 11
140,Chicago Blackhawks,C,Nick Suzuki,67,20,"$863,335",,Round 12
141,Winnipeg Jets,D,Brett Pesce,71,25,"$4,025,000",,Round 13
142,Washington Capitals,D,Samuel Girard,69,21,"$728,333",,Round 14
143,Boston Bruins,D,Zdeno Chara,76,42,"$2,000,000",,Round 15
144,Pittsburgh Penguins,D,Damon Severson,75,25,"$4,166,666",,Round 16
145,Columbus Blue Jackets,C,Nicklas Backstrom,76,32,"$6,700,000",,Round 17
146,Colorado Avalanche,C/LW,Brayden Schenn,74,28,"$5,125,000",,Round 18
147,Anaheim Ducks,C,Kirby Dach,64,19,"$925,001",,Round 19
148,New Jersey Devils,C,William Karlsson,73,27,"$5,900,000",,Round 20
149,Tampa Bay Lightning,D,Mark Giordano,76,36,"$6,750,000",,Round 21
150,Los Angeles Kings,C/LW,Casey Mittelstadt,63,21,"$925,000",,Round 22
151,Calgary Flames,RW,Tom Wilson,73,25,"$5,166,666",,Round 23
152,Montreal Canadiens,LW/RW,Victor Olofsson,67,24,"$767,500",,Round 24
153,Edmonton Oilers,RW,Kailer Yamamoto,67,21,"$894,166",,Round 25
154,Ottawa Senators,G,Pavel Francouz,74,29,"$950,000",,Round 26
155,Seattle Kraken,D,Ryan Pulock,73,25,"$2,000,000",,
156,San Jose Sharks,G,Mikko Koskinen,76,31,"$4,500,000",,
157,Florida Panthers,LW/RW,Anthony Duclair,72,24,"$1,650,000",,
158,Boston Bruins,LW/RW,Jake Debrusk,68,23,"$863,333",,
159,Dallas Stars,G,Linus Ullmark,75,26,"$1,325,000",,
160,Arizona Coyotes,C/LW,Nazem Kadri,73,29,"$4,500,000",,
Round 6,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
161,Arizona Coyotes,D,Travis Hamonic,73,29,"$3,857,143",,Round 1
162,Dallas Stars,LW,Taylor Hall,73,28,"$6,000,000",,Round 2
163,NY Rangers,D,Adam Pelech,72,25,"$1,600,000",,Round 3
164,Florida Panthers,C/RW,Ryan Strome,75,26,"$3,100,000",,Round 4
165,San Jose Sharks,D,Anthony DeAngelo,68,24,"$925,000",,Round 5
166,Chicago Blackhawks,D,Adam Boqvist,61,19,"$894,168",,Round 6
167,Ottawa Senators,G,Tristan Jarry,75,25,"$675,000",,Round 7
168,Edmonton Oilers,D,Ryan Ellis,74,29,"$6,250,000",,Round 8
169,Montreal Canadiens,LW,Joel Farabee,62,20,"$925,004",,Round 9
170,Calgary Flames,D,John Klingberg,69,27,"$4,250,000",,Round 10
171,Los Angeles Kings,LW/RW,Filip Zadina,65,20,"$894,167",,Round 11
172,Tampa Bay Lightning,C/LW,Brock Nelson,75,28,"$6,000,000",,Round 12
173,New Jersey Devils,G,Alexandar Georgiev,68,24,"$792,500",,Round 13
174,Anaheim Ducks,C/RW,Martin Necas,66,21,"$863,333",,Round 14
175,Colorado Avalanche,D,Torey Krug,70,28,"$5,250,000",,Round 15
176,Columbus Blue Jackets,LW,Evander Kane,75,28,"$7,000,000",,Round 16
177,Pittsburgh Penguins,C,Jean-Gabriel Pageau,73,27,"$3,100,000",,Round 17
